#Title : in-situ files catalog
#Description : catalog of available in-situ files compliant with Marine Data Store
#Project : Copernicus Marine In Situ TAC
#Format Version : 3.0
#Last Update : 2026-05-06T13:06:06Z
#catalog_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,institution,date_update,data_mode,parameters
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_TS_DB_1801951_20260406.nc,35.64332,35.69698,18.48160,18.57203,2026-04-06T00:00:00Z,2026-04-06T23:00:00Z,National Institute of Oceanography and Applied Geophysics - OGS- Division of Oceanography,2026-04-07T21:35:51Z,R, DEPH TEMP ATMS WDIR WSPD
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_TS_DB_2802235_20260406.nc,39.90351,39.90477,8.49236,8.49414,2026-04-06T00:00:00Z,2026-04-06T23:00:00Z,National Institute of Oceanography and Applied Geophysics - OGS- Division of Oceanography,2026-04-07T01:39:00Z,R, DEPH TEMP
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_TS_DB_3801846_20260406.nc,32.93458,33.06022,23.59007,23.78169,2026-04-06T00:01:00Z,2026-04-06T23:00:00Z,National Institute of Oceanography and Applied Geophysics - OGS- Division of Oceanography,2026-04-07T01:40:26Z,R, DEPH TEMP ATMS
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_TS_DB_4804044_20260406.nc,36.13000,36.30820,17.39080,17.42780,2026-04-06T00:00:00Z,2026-04-06T23:00:00Z,Scripps Institution of Oceanography,2026-04-07T01:43:01Z,R, DEPH TEMP ATMS
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_TS_DB_4804172_20260406.nc,38.03340,38.03520,14.47940,14.48120,2026-04-06T00:00:00Z,2026-04-06T23:00:00Z,National Institute of Oceanography and Applied Geophysics - OGS- Division of Oceanography,2026-04-07T08:39:45Z,R, DEPH TEMP ATMS ATPT EWCT NSCT
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_TS_DB_4804256_20260406.nc,33.23789,33.35740,33.81874,33.91143,2026-04-06T00:00:00Z,2026-04-06T23:00:00Z,National Institute of Oceanography and Applied Geophysics - OGS- Division of Oceanography,2026-04-07T01:43:14Z,R, DEPH TEMP
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_TS_DB_4804282_20260406.nc,37.05405,37.06872,19.31020,19.32997,2026-04-06T00:00:00Z,2026-04-06T23:02:00Z,National Institute of Oceanography and Applied Geophysics - OGS- Division of Oceanography,2026-04-07T01:43:20Z,R, DEPH TEMP ATMS
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_TS_DB_5802267_20260406.nc,31.77372,32.05081,26.02727,26.64439,2026-04-06T00:00:00Z,2026-04-06T23:00:00Z,National Institute of Oceanography and Applied Geophysics - OGS- Division of Oceanography,2026-04-07T01:45:51Z,R, DEPH TEMP ATMS
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_TS_DB_6402631_20260406.nc,33.51300,33.57100,22.43740,22.48800,2026-04-06T00:00:00Z,2026-04-06T23:00:00Z,Unknown institution,2026-04-07T01:46:24Z,R, DEPH TEMP ATMS
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_TS_DB_6802049_20260406.nc,33.63274,33.71194,17.89137,17.96064,2026-04-06T00:00:00Z,2026-04-06T23:00:00Z,National Institute of Oceanography and Applied Geophysics - OGS- Division of Oceanography,2026-04-07T01:47:05Z,R, DEPH TEMP
